* Date: Tue Nov 22 01:50:35 2005  Remote_host:   Remote_address: 212.72.25.163  status: instructor  visit: joker  where: Higher Colleges of Technology, Oman

* Date: Tue Nov 22 12:50:33 2005  Remote_host:   Remote_address: 24.70.95.204  status: instructor  visit: justtrying  where: Bio-Sci University of Alberta Edmonton

* Date: Tue Nov 22 13:12:00 2005  Remote_host:   Remote_address: 143.239.138.30  status: instructor  visit: justtrying  where: University College Cork, Ireland

* Date: Wed Nov 23 11:10:12 2005  Remote_host:   Remote_address: 140.163.254.129  status: instructor  visit: joker  where: Dept of Medical Physics, Memorial Sloan-Kettering Cancer Center, N Y Center of the Universe

* Date: Wed Nov 23 12:05:59 2005  Remote_host:   Remote_address: 138.40.156.57  status: student  visit: forcourse  where: City University, London 

* Date: Thu Nov 24 15:40:06 2005  Remote_host:   Remote_address: 212.113.164.102  status: student  visit: justtrying  where: 

* Date: Sun Nov 27 21:42:42 2005  Remote_host:   Remote_address: 202.50.187.13  status: student  visit: justtrying  where: 

* Date: Mon Nov 28 14:49:54 2005  Remote_host:   Remote_address: 146.95.146.137  status: student  visit: justtrying  where: Dept. of Anthropology, Graduate Center, City University of New York

* Date: Mon Nov 28 18:00:21 2005  Remote_host:   Remote_address: 70.105.111.188  status: student  visit: forcourse  where: Southern Illinois

* Date: Mon Nov 28 20:50:43 2005  Remote_host:   Remote_address: 81.84.28.200  status: joker  visit: joker  where: fcul lx

* Date: Tue Nov 29 06:49:53 2005  Remote_host:   Remote_address: 136.242.127.198  status: instructor  visit: forcourse  where: 

* Date: Tue Nov 29 07:16:33 2005  Remote_host:   Remote_address: 136.242.127.198  status:   visit:   where: 

* Date: Wed Nov 30 04:15:43 2005  Remote_host:   Remote_address: 148.177.129.212  status: student  visit: justtrying  where: Istanbul Bilgi

* Date: Wed Nov 30 08:27:25 2005  Remote_host:   Remote_address: 81.89.240.196  status:   visit:   where: 

